0x96f	#262427	#fcfcfa	#262427,#ff7272,#bcdf59,#ffca58,#49cae4,#a093e2,#aee8f4,#fcfcfa,#545452,#ff8787,#c6e472,#ffd271,#64d2e8,#aea3e6,#baebf6,#fcfcfa
12-bit Rainbow	#040404	#feffff	#000000,#a03050,#40d080,#e09040,#3060b0,#603090,#0090c0,#dbded8,#685656,#c06060,#90d050,#e0d000,#00b0c0,#801070,#20b0c0,#ffffff
3024 Day	#f7f7f7	#4a4543	#090300,#db2d20,#01a252,#fded02,#01a0e4,#a16a94,#b5e4f4,#a5a2a2,#5c5855,#e8bbd0,#3a3432,#4a4543,#807d7c,#d6d5d4,#cdab53,#f7f7f7
3024 Night	#090300	#a5a2a2	#090300,#db2d20,#01a252,#fded02,#01a0e4,#a16a94,#b5e4f4,#a5a2a2,#5c5855,#e8bbd0,#3a3432,#4a4543,#807d7c,#d6d5d4,#cdab53,#f7f7f7
Aardvark Blue	#102040	#dddddd	#191919,#aa342e,#4b8c0f,#dbba00,#1370d3,#c43ac3,#008eb0,#bebebe,#454545,#f05b50,#95dc55,#ffe763,#60a4ec,#e26be2,#60b6cb,#f7f7f7
Aardvark Ink	#0f141f	#b4bcca	#222734,#c26265,#52aa60,#ad9b49,#487fd4,#af5bd1,#269d9a,#5a6377,#3a4152,#e48383,#75cf84,#c7b461,#76a8f2,#d58bf0,#52c4c0,#dfe5ee
Abernathy	#111416	#eeeeec	#000000,#cd0000,#00cd00,#cdcd00,#1093f5,#cd00cd,#00cdcd,#faebd7,#404040,#ff0000,#00ff00,#ffff00,#11b5f6,#ff00ff,#00ffff,#ffffff
Adventure	#040404	#feffff	#040404,#d84a33,#5da602,#eebb6e,#417ab3,#e5c499,#bdcfe5,#dbded8,#685656,#d76b42,#99b52c,#ffb670,#97d7ef,#aa7900,#bdcfe5,#e4d5c7
Adventure Time	#1f1d45	#f8dcc0	#050404,#bd0013,#4ab118,#e7741e,#0f4ac6,#665993,#70a598,#f8dcc0,#4e7cbf,#fc5f5a,#9eff6e,#efc11a,#1997c6,#9b5953,#c8faf4,#f6f5fb
Adwaita	#ffffff	#1d1d20	#1d1d20,#c01c28,#26a269,#a2734c,#12488b,#a347ba,#2aa1b3,#c2c2c2,#5d5d5d,#f66151,#33d17a,#e9ad0c,#2a7bde,#c061cb,#33c7de,#ffffff
Adwaita Dark	#1c1c1f	#ffffff	#241f31,#c01c28,#2ec27e,#f5c211,#1e78e4,#9841bb,#0ab9dc,#c0bfbc,#5e5c64,#ed333b,#57e389,#f8e45c,#51a1ff,#c061cb,#4fd2fd,#f6f5f4
